Type,Key,Title,Epic,Milestone,Priority,Labels,AsA,IWant,SoThat,Acceptance,Refs,DependsOn
Epic,SPRINT-0,Sprint 0 — Foundations & setup,,M0 · Sprint 0 — Foundations & setup,,type:epic SPRINT-0 phase:0 area:infra,,,,,,
Story,REPO,Monorepo & solution scaffolding,SPRINT-0,M0 · Sprint 0 — Foundations & setup,P0,type:chore SPRINT-0 phase:0 area:infra,developer,"a scaffolded repo with the API, web, app and shared-package folders, a clean .NET solution, an Angular workspace and a Flutter workspace wired together",everyone builds against one consistent structure and shared code has an obvious home,"Repo layout documented in a top-level README (api/, web/, apps/, packages/, infra/, scripts/). | .NET solution builds; Angular workspace serves; both Flutter app shells run on a simulator. | Shared design-system and API-client packages exist as empty-but-buildable libraries. | Editorconfig, formatter and linter configs committed and enforced locally.","ADR: ADR-0005, ADR-0006",
Story,CICD,"CI/CD pipelines (build, test, deploy)",SPRINT-0,M0 · Sprint 0 — Foundations & setup,P0,type:chore SPRINT-0 phase:0 area:infra,developer,"pipelines that build and test the API, web and apps on every PR and deploy to dev/staging on merge",broken code is caught early and releases are repeatable,"PR pipeline runs build + unit/integration tests for API, web and apps and blocks merge on failure. | Merge to main deploys API + web to the dev environment automatically. | Mobile app builds produce installable artifacts for internal distribution. | Pipeline status is required for merge (branch protection ties in via S0-GOV).",,SPRINT-0/REPO
Story,IAC,Cloud environments & infrastructure-as-code (AU East),SPRINT-0,M0 · Sprint 0 — Foundations & setup,P0,type:chore SPRINT-0 phase:0 area:infra compliance,platform engineer,"dev, staging and prod environments provisioned via IaC, all pinned to Australia East",data residency is guaranteed and environments are reproducible,"IaC provisions compute, Postgres, blob storage and networking in Australia East for each environment. | A non-AU region for any PII/PHI resource fails the IaC policy check. | Environments are isolated (separate data stores, secrets, identities). | Tear-down/re-create of a non-prod environment is a single command.","Compliance: C21 · ADR: ADR-0001, ADR-0016",
Story,DB,Postgres + EF Core baseline & migrations,SPRINT-0,M0 · Sprint 0 — Foundations & setup,P0,type:chore SPRINT-0 phase:0 area:data,backend developer,"a Postgres database with EF Core, a migration pipeline and base entity/columns conventions",every module adds schema consistently and migrations run automatically per environment,EF Core connects to Postgres; migrations apply automatically on deploy. | Base entity convention includes tenant_id and created/updated audit columns. | A sample entity round-trips through repository + migration in tests. | Local dev uses a containerised Postgres seeded by S0-SEED.,ADR: ADR-0002,SPRINT-0/IAC
Story,RLS,Row-level-security multi-tenancy baseline,SPRINT-0,M0 · Sprint 0 — Foundations & setup,P0,type:chore SPRINT-0 phase:0 area:data compliance,platform engineer,"Postgres RLS policies keyed on tenant_id, with EF Core setting the session tenant context on every request","a query can never return another tenant's rows, even on a developer mistake","RLS policies are applied to all tenant-scoped tables. | API middleware sets the session tenant from the authenticated principal on every request. | An integration test proves Tenant A cannot read Tenant B rows and a cross-tenant id returns not-found. | Bypassing tenant context (e.g. background jobs) uses an explicit, audited elevated path.",ADR: ADR-0003 · PRD AC: PRD-01 AC2,SPRINT-0/DB SPRINT-0/SPIKE-RLS
Story,AUTH-STAFF,Staff identity: Entra ID SSO + MFA wiring,SPRINT-0,M0 · Sprint 0 — Foundations & setup,P0,type:chore SPRINT-0 phase:0 area:backend,staff member,to sign in to the web and provider app with my Microsoft 365 account and MFA,I use one secure corporate identity and no extra password,Entra ID app registration configured; web + provider app complete SSO + MFA. | Tokens carry the tenant and a stable user id usable by the API. | Sign-out and token refresh work across web and app. | Sessions are scoped to a single tenant.,ADR: ADR-0004 · PRD AC: PRD-01 AC3,SPRINT-0/SPIKE-AUTH
Story,AUTH-CLIENT,Client identity: Entra External ID (social / email / OTP) wiring,SPRINT-0,M0 · Sprint 0 — Foundations & setup,P0,type:chore SPRINT-0 phase:0 area:backend,client,"to create an account and sign in with social login, email+password, or a one-time code","I can access booking, intake and my records easily and securely","Entra External ID configured for social, local (email+password) and OTP flows. | Client app and public web complete each of the three sign-in methods. | Client identities are tenant-scoped and distinct from staff identities. | Account recovery (password reset / OTP resend) works.",ADR: ADR-0004 · PRD AC: PRD-01 AC3,SPRINT-0/SPIKE-AUTH
Story,API,".NET API skeleton: architecture, tenant context, error model",SPRINT-0,M0 · Sprint 0 — Foundations & setup,P0,type:chore SPRINT-0 phase:0 area:backend,backend developer,"an API skeleton with auth middleware, tenant-context resolution, a standard error/response model and health checks",feature modules are added consistently and cross-cutting concerns are solved once,Auth middleware validates Entra tokens (staff + client) and resolves tenant context for RLS. | Standard problem-details error responses and consistent pagination/filtering conventions. | Health/readiness endpoints and structured request logging in place. | A vertical-slice sample endpoint demonstrates the full pattern end-to-end.,ADR: ADR-0005,SPRINT-0/RLS SPRINT-0/AUTH-STAFF
Story,AUDIT-INFRA,Append-only audit infrastructure baseline,SPRINT-0,M0 · Sprint 0 — Foundations & setup,P0,type:chore SPRINT-0 phase:0 area:data compliance,platform engineer,an append-only AuditEvent store and a simple API/interceptor for modules to record reads and writes,auditability is a built-in default rather than a per-feature afterthought,AuditEvent table is append-only (no update/delete path) and carries who/what/when/tenant. | A reusable interceptor/helper records create/update/read for annotated entities or endpoints. | Events are queryable and exportable (full register UI is PRD-01/PRD-08). | Tampering attempts (update/delete) are rejected at the data layer.,Compliance: C10 · ADR: ADR-0010,SPRINT-0/DB
Story,OPENAPI,OpenAPI contract + typed client generation,SPRINT-0,M0 · Sprint 0 — Foundations & setup,P1,type:chore SPRINT-0 phase:0 area:backend,developer,the API to publish an OpenAPI document and CI to generate typed clients for web and Flutter,front-ends always match the API contract,API serves a versioned OpenAPI document. | Typed clients are generated for Angular and Flutter and published to the shared packages. | Client generation runs in CI and fails on a breaking contract change without a version bump. | The sample endpoint is consumed via the generated client in both web and app.,ADR: ADR-0006,SPRINT-0/API
Story,WEB-SHELL,"Angular web shell: routing, auth guard, layout",SPRINT-0,M0 · Sprint 0 — Foundations & setup,P1,type:chore SPRINT-0 phase:0 area:web,front-end developer,"an Angular shell with the Entra auth guard, top-level routing, a role-aware navigation frame and the design-system theme applied","feature screens drop into a consistent, authenticated layout",Unauthenticated users are redirected to Entra sign-in; authenticated users land on a shell. | Navigation is driven by capabilities/role (placeholder until PRD-01 RBAC lands). | Design-system theme + tokens applied globally. | A sample feature route renders inside the shell using the generated API client.,ADR: ADR-0005,SPRINT-0/AUTH-STAFF SPRINT-0/DESIGN
Story,DESIGN,Design system / shared component library + tokens,SPRINT-0,M0 · Sprint 0 — Foundations & setup,P1,type:chore SPRINT-0 phase:0 area:design,designer/developer,"a shared set of design tokens and core components (buttons, inputs, banners, the blocked-action banner, chips, tables)",all surfaces look consistent and the compliance UX patterns are reusable,"Tokens (colour, type, spacing) defined once and consumed by web + Flutter. | Core components include the cross-cutting patterns from UX §4 (blocked-action banner, consent/age chips, S4 guardrail tag, offline indicator). | Components are documented in a simple gallery/storybook. | Accessibility basics (contrast, focus, hit-target size) verified for core components.",ADR: ADR-0006,
Story,FLUTTER,Flutter app shells (client + provider) + shared packages,SPRINT-0,M0 · Sprint 0 — Foundations & setup,P1,type:chore SPRINT-0 phase:0 area:client-app area:provider-app,mobile developer,"client and provider app shells with bottom-tab navigation, shared auth/API/design packages and secure token storage",the two apps are built from one codebase with consistent plumbing,"Client app shell has the Home/Book/My care/Membership/Account tabs; provider app shell has Schedule/Patient/Medicines/Tasks tabs (empty screens). | Both apps sign in (client = External ID, provider = Entra) and call the sample endpoint. | Auth tokens stored in secure storage; design-system theme applied. | Builds are produced by CI for internal distribution.","ADR: ADR-0004, ADR-0006",SPRINT-0/AUTH-STAFF SPRINT-0/AUTH-CLIENT SPRINT-0/DESIGN
Story,SECRETS,Secrets & configuration management,SPRINT-0,M0 · Sprint 0 — Foundations & setup,P1,type:chore SPRINT-0 phase:0 area:infra,platform engineer,a managed secret store (Key Vault) wired into each environment and a typed config story for the API and apps,no secret is ever committed and rotation is possible,API and pipelines read secrets from the vault per environment; none in source control. | A secret-scanning check fails the build on a committed secret. | Config is environment-specific and typed; missing required config fails fast at startup. | Rotating a secret requires no code change.,,SPRINT-0/IAC
Story,OBS,"Observability: logging, tracing, metrics, alerting",SPRINT-0,M0 · Sprint 0 — Foundations & setup,P1,type:chore SPRINT-0 phase:0 area:infra,platform engineer,"structured logging, distributed tracing, key metrics dashboards and alerting wired across API and apps",we can diagnose issues and detect incidents (feeding the breach workflow) quickly,"Structured logs and traces flow to a central store with correlation ids across web/app/API. | Dashboards cover request rate, latency, errors and key resource health. | Alerts fire for error-rate and availability thresholds. | Audit/security-relevant signals are distinguishable to feed the breach workflow (PRD-01).",,SPRINT-0/API
Story,SEC-BASE,"Security baseline: encryption, headers, dependency & secret scanning",SPRINT-0,M0 · Sprint 0 — Foundations & setup,P0,type:chore SPRINT-0 phase:0 area:infra compliance,security-minded engineer,"TLS everywhere, encryption at rest, hardened HTTP headers, least-privilege identities and dependency/secret/code scanning in CI",the platform meets its baseline security obligations from day one,"All traffic is TLS; data stores are encrypted at rest. | Security headers (CSP, HSTS, etc.) applied to web; CORS locked down. | Dependency, secret and SAST scans run in CI and gate merges on high-severity findings. | Service identities follow least-privilege; no shared admin credentials.","Compliance: C10, C21 · ADR: ADR-0016",SPRINT-0/CICD
Story,TEST,Test strategy & harness + quality gates,SPRINT-0,M0 · Sprint 0 — Foundations & setup,P1,type:chore SPRINT-0 phase:0 area:backend,developer,"test harnesses for API (unit + integration), web and apps, plus an e2e smoke suite and coverage gates in CI",compliance invariants are protected by tests and regressions are caught automatically,Unit + integration test projects exist for the API (integration tests run against a real Postgres with RLS). | Web and app unit/widget test setups in place; an e2e smoke test covers sign-in + the sample flow. | Coverage threshold enforced in CI. | A documented convention for writing 'compliance invariant' tests (gate must block) exists.,,SPRINT-0/CICD SPRINT-0/RLS
Story,SEED,Synthetic seed data & local dev environment,SPRINT-0,M0 · Sprint 0 — Foundations & setup,P2,type:chore SPRINT-0 phase:0 area:data,developer,"a one-command local environment seeded with synthetic tenant, staff, clients, catalogue and stock",I can run and demo any module locally without touching real data,"A script spins up Postgres + API + web locally and seeds a synthetic tenant. | Seed covers staff roles/credentials, clients (incl. an under-18), services flagged S4/non-S4, and stock lots. | All seed data is clearly synthetic; no real client/staff/business info. | Seed is reproducible and used by integration/e2e tests.",,SPRINT-0/DB
Story,GOV,"Repo governance: branch protection, PR & env protection",SPRINT-0,M0 · Sprint 0 — Foundations & setup,P2,type:chore SPRINT-0 phase:0 area:infra,maintainer,"protected main with required status checks and reviews, PR/issue templates, and protected prod deployments",quality gates can't be bypassed and changes are traceable,"main requires passing checks + at least one review before merge. | PR and issue templates committed (PR template references the backlog item). | Production deploys require an approval gate. | CODEOWNERS routes reviews for sensitive areas (auth, medicines, compliance).",,SPRINT-0/CICD
Story,SPIKE-AUTH,Spike — Entra External ID ↔ Flutter ↔ .NET auth,SPRINT-0,M0 · Sprint 0 — Foundations & setup,P0,type:spike spike SPRINT-0 phase:0 area:backend,engineer,a time-boxed spike proving staff + client sign-in from Flutter and web through to authorised .NET API calls,the auth wiring stories proceed on a proven approach,"A throwaway prototype completes Entra (staff) and External ID (client) sign-in from Flutter and web. | An authorised call reaches a .NET endpoint with tenant + role claims usable for RLS/RBAC. | Findings, library choices and gotchas written up; risks/decisions captured (ADR if needed). | Outcome explicitly feeds AUTH-STAFF / AUTH-CLIENT.",ADR: ADR-0004,
Story,SPIKE-RLS,Spike — Postgres RLS with EF Core session context,SPRINT-0,M0 · Sprint 0 — Foundations & setup,P0,type:spike spike SPRINT-0 phase:0 area:data,engineer,a spike proving EF Core reliably sets the Postgres session tenant for RLS under connection pooling and async,the RLS baseline is built on a verified pattern,Prototype shows RLS isolation holds across pooled connections and async requests. | A safe elevated/bypass path for background jobs is demonstrated and audited. | Performance impact measured and acceptable. | Pattern documented and feeds SPRINT-0/RLS.,"ADR: ADR-0002, ADR-0003",
Story,SPIKE-SQUARE,Spike — Square AU card-on-file recurring autopay,SPRINT-0,M0 · Sprint 0 — Foundations & setup,P1,type:spike spike SPRINT-0 phase:0 area:integration,engineer,a spike confirming Square AU can tokenise a card and run recurring charges with failure/dunning handling,the membership autopay design is viable (or an alternative is chosen early),"Prototype tokenises a test card and runs a scheduled recurring charge in Square AU sandbox. | Failed-charge / retry behaviour observed; dunning approach outlined. | PCI posture confirmed: no PAN stored, only provider tokens (ADR-0007). | Go/no-go + findings recorded; feeds PRD-06 memberships.",ADR: ADR-0007,
Story,SPIKE-CANVAS,Spike — Flutter injection-mapping canvas,SPRINT-0,M0 · Sprint 0 — Foundations & setup,P1,type:spike spike SPRINT-0 phase:0 area:provider-app,mobile engineer,"a spike of the Flutter canvas: tap-to-add and drag injection points over a facial diagram and a photo, each holding metadata","PRD-05 charting builds on a proven, performant canvas","Prototype supports tap-to-add, drag-to-move and per-point metadata over both a diagram and an image. | Performs smoothly on a mid-range device with many points. | Coordinate model survives image scaling/rotation and is persistable. | Approach documented; feeds PRD-05 mapping stories.",ADR: ADR-0006,
Story,SPIKE-OFFLINE,Spike — offline queue & sync integrity (provider app),SPRINT-0,M0 · Sprint 0 — Foundations & setup,P1,type:spike spike SPRINT-0 phase:0 area:provider-app,mobile engineer,a spike proving an encrypted local queue for drafts/photos that syncs with no data loss and last-write-wins drafts,the offline-tolerant charting design is viable,Prototype queues drafts + a photo offline (encrypted) and syncs cleanly on reconnect with no loss. | Conflict handling (last-write-wins for drafts) demonstrated; finalisation is server-side. | Photos never persist on device beyond a transient sync cache (C14/ADR-0009). | Approach documented; feeds PRD-05 / PRD-09.,"Compliance: C14 · ADR: ADR-0009, ADR-0010, ADR-0015",
Epic,PRD-01,"Foundations & tenancy (auth, RBAC, audit, data model)",,M1 · Foundations & tenancy (PRD-01),,type:epic PRD-01 phase:0 area:backend compliance,,,,,,
Story,TENANT,Tenant provisioning & staff invitation,PRD-01,M1 · Foundations & tenancy (PRD-01),P0,type:story PRD-01 phase:0 area:backend,owner,to provision my clinic and invite staff who then sign in with our Microsoft 365 accounts,my team can access the platform under one isolated tenant,Provisioning creates a tenant with locations and an owner account. | Invited staff complete Entra SSO and are bound to the tenant. | All records created carry tenant_id and are RLS-isolated. | Re-inviting / deactivating a staff member is supported and audited.,"REQ: REQ-TEN-1, REQ-TEN-2 · ADR: ADR-0003, ADR-0004 · PRD AC: AC2, AC3",
Story,RBAC,RBAC + scope-of-practice matrix enforcement,PRD-01,M1 · Foundations & tenancy (PRD-01),P0,type:story PRD-01 phase:1 area:backend compliance,owner,roles mapped to capabilities so the system blocks any action outside a user's scope of practice,people can only do what they're trained and legally allowed to do,"Capabilities × concerns model implemented; each API action checks a capability. | The persona set (NP, Lead RN, RN, dermal, reception, owner-business) maps to the matrix. | An out-of-scope action is blocked with a clear reason and an audit event. | Owner-business is read-only for clinical/stock unless they hold the credential.","REQ: REQ-TEN-3, REQ-TEN-4 · Compliance: C4, C19 · ADR: ADR-0017 · PRD AC: AC1",PRD-01/TENANT
Story,CREDENTIALS,Staff credentials + canInject compliance gate,PRD-01,M1 · Foundations & tenancy (PRD-01),P0,type:story PRD-01 phase:1 area:backend compliance,owner,structured credential + CPD + cosmetic-cover-insurance records that derive whether each practitioner is cleared to treat/inject,"only registered, insured, in-scope staff can be booked and can treat","Profiles capture AHPRA reg/type/status/expiry/conditions, ≥1yr-experience flag, CPD and cosmetic-cover PII. | A practitioner whose PII excludes cosmetic, or whose registration has lapsed, is flagged not-cleared. | The designated RN prescriber role is supported (endorsement + recorded partnered prescriber). | canInject is a single derived signal consumed by booking (PRD-02) and treatment gates.","REQ: REQ-TEN-6, REQ-TEN-7, REQ-TEN-8, REQ-TEN-9 · Compliance: C4, C19 · ADR: ADR-0028, ADR-0029 · PRD AC: AC1",PRD-01/RBAC
Story,REG-WATCH,Registration / PII / CPD expiry alerting,PRD-01,M1 · Foundations & tenancy (PRD-01),P1,type:story PRD-01 phase:1 area:backend compliance,owner,"to be alerted before a practitioner's registration, cosmetic insurance or CPD lapses",we never treat with an unregistered or uninsured practitioner,"Items within N days of expiry surface on an alert/watchlist (also feeds PRD-08). | On lapse, the practitioner's canInject flips to not-cleared automatically. | Alerts are role-targeted and dismiss/acknowledge is audited. | AHPRA register auto-verification (PIE) is supported with a first-class manual-verify fallback.",REQ: REQ-TEN-7 · Compliance: C19 · ADR: ADR-0029 · PRD AC: AC1,PRD-01/CREDENTIALS
Story,ROSTER,Rosters & engagement type,PRD-01,M1 · Foundations & tenancy (PRD-01),P1,type:story PRD-01 phase:1 area:backend,manager,to record staff rosters/time-off and each person's engagement type,booking availability reflects who is actually working and cleared,Rosters and time-off are recorded per staff member and location. | Booking availability is derived from roster ∩ canInject (consumed by PRD-02). | Engagement type (employee/contractor) is recorded per staff member. | Roster changes are audited.,"REQ: REQ-TEN-8, REQ-TEN-9 · ADR: ADR-0028, ADR-0029",PRD-01/CREDENTIALS
Story,AUDIT,Exportable audit trail for clinical / medicines / PII,PRD-01,M1 · Foundations & tenancy (PRD-01),P0,type:story PRD-01 phase:1 area:data compliance,compliance officer,"to export an audit trail of who viewed or changed clinical, medicines and PII data",we can evidence access and changes in an inspection,Every read/write of clinical/medicines/PII produces an immutable AuditEvent (who/what/when/tenant). | The log cannot be edited or deleted. | A compliance officer can filter and export the trail. | Sensitive-data reads (not just writes) are captured.,REQ: REQ-SEC-3 · Compliance: C10 · ADR: ADR-0010 · PRD AC: AC4,PRD-01/TENANT
Story,RETENTION,Retention policy engine & destruction register,PRD-01,M1 · Foundations & tenancy (PRD-01),P1,type:story PRD-01 phase:1 area:backend compliance,admin,retention timers and a destruction register that surfaces records due for destruction and logs their destruction,"we keep records exactly as long as the law requires, no more, no less","Retention rules: adults ≥7y from last contact; minors to age 25; indefinite on complaint/litigation. | Records past retention surface for destruction with their retention basis. | Destroying a record writes a destruction-register entry (patient, period, date) + certificate reference. | A transfer log records records handed to another provider.",REQ: REQ-SEC-4 · Compliance: C18 · PRD AC: AC5,PRD-01/AUDIT
Story,BREACH,Data-breach assessment & notification workflow,PRD-01,M1 · Foundations & tenancy (PRD-01),P1,type:story PRD-01 phase:1 area:backend compliance,admin,"a workflow that, when a breach is flagged, guides assessment and produces OAIC + individual notifications and a register entry",we meet Notifiable Data Breaches obligations,"Flagging a breach starts an assessment workflow. | If assessed eligible, it produces OAIC + individual notification drafts. | A breach-register entry is created and retained. | Observability/security signals (Sprint 0 OBS) can seed a breach case.",REQ: REQ-SEC-7 · Compliance: C22 · PRD AC: AC7,PRD-01/AUDIT
Story,PRIVACY-RIGHTS,"Client privacy: collection notice, access & correction (DSAR)",PRD-01,M1 · Foundations & tenancy (PRD-01),P1,type:story PRD-01 phase:1 area:backend compliance,client,"to see a clear collection notice, access a copy of my data and request a correction",my privacy rights under the Privacy Act are respected,Collection notice + consent shown and recorded at sign-up. | A client can view/export their own personal/health data. | A correction request is tracked to resolution against the DSAR clock. | All access/correction actions are audited.,"REQ: REQ-SEC-5, REQ-SEC-8, REQ-SEC-9 · Compliance: C21 · PRD AC: AC6",PRD-01/TENANT
Story,RESIDENCY,Data residency & sub-processor controls,PRD-01,M1 · Foundations & tenancy (PRD-01),P1,type:story PRD-01 phase:1 area:infra compliance,compliance officer,assurance and enforcement that PII/PHI stays in Australia and never flows to a non-AU sub-processor without an APP-8 assessment,we meet residency and cross-border obligations,"All PII/PHI resources resolve to Australia East (verified, ties to Sprint 0 IAC policy). | An integration to a non-AU sub-processor is blocked unless an APP-8 assessment + consent record exists. | Sub-processor data flows are documented in a register. | Signed-URL media access enforces the same residency.","REQ: REQ-SEC-1, REQ-SEC-2, REQ-SEC-6 · Compliance: C21 · ADR: ADR-0016 · PRD AC: AC8",SPRINT-0/IAC
Story,CLIENT-CORE,Client core record: DOB & under-18 flag,PRD-01,M1 · Foundations & tenancy (PRD-01),P1,type:story PRD-01 phase:1 area:backend,system,to capture client DOB and derive an under-18 flag,downstream cooling-off and pricing rules can enforce age-based requirements,DOB captured; under-18 flag derived and exposed to PRD-03/PRD-06/PRD-07. | The flag updates correctly across a birthday. | Soft-delete with audit and duplicate handling supported (full CRM in PRD-02). | Under-18 status is visible on the patient header (consumed by UX age chip).,REQ: REQ-CLI-3 · Compliance: C6,PRD-01/TENANT
Story,ROLE-BUILDER,Custom-role builder (placeholder),PRD-01,M1 · Foundations & tenancy (PRD-01),P2,type:story PRD-01 phase:2plus area:backend,owner,to define custom roles from capabilities,I can model staff arrangements that don't fit the presets,Placeholder — design only in v1; presets are sufficient for launch. | Captured so the capability model stays builder-ready.,REQ: REQ-TEN-5 · ADR: ADR-0017,
Epic,PRD-02,Booking & scheduling (+ client/CRM basics),,"M2 · Booking, CRM, intake & consent (PRD-02, PRD-03)",,type:epic PRD-02 phase:1 area:web area:backend,,,,,,
Story,CALENDAR,Multi-resource calendar (practitioner + room),PRD-02,"M2 · Booking, CRM, intake & consent (PRD-02, PRD-03)",P0,type:story PRD-02 phase:1 area:web,front desk,a day/week/room calendar showing practitioners and rooms with correct service durations and buffers,I can run the diary at a glance and book without clashes,"Resources = practitioner + room; service durations include buffer/processing/turnaround. | Day, week and room views render; rosters and time-off block availability. | Drag to move an appointment; conflicts on room/chair/device are flagged. | Per-day and per-treatment-type counts + utilisation surfaced.","REQ: REQ-BOOK-1 · ADR: ADR-0024, ADR-0026",PRD-01/ROSTER
